Ticker,BEA,NAICS,Title
COKE,311FT,312111,Food and beverage and tobacco products
COL,332,332912,Fabricated metal products
COLB,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CONE,525,525990,"Funds, trusts, and other financial vehicles"
COO,339,339113,Miscellaneous manufacturing
COP,324,324110,Petroleum and coal products
COR,525,525990,"Funds, trusts, and other financial vehicles"
CORE,42,424410,Wholesale trade
CORR,525,525990,"Funds, trusts, and other financial vehicles"
CORT,325,325412,Chemical products
COTY,325,325611,Chemical products
COUP,334,334614,Computer and electronic products
COV,332,332994,Fabricated metal products
COVS,514,518210,"Data processing, internet publishing, and other information services"
COWN,523,523110,"Securities, commodity contracts, and investments"
CPA,481,481111,Air transportation
CPE,211,211120,Oil and gas extraction
CPF,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CPGX,486,486210,Pipeline transportation
CPHD,334,334516,Computer and electronic products
CPK,22,221210,Utilities
CPN,22,221111,Utilities
CPS,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
CPSI,5415,541511,Computer systems design and related services
CPT,525,525990,"Funds, trusts, and other financial vehicles"
CPWR,334,334614,Computer and electronic products
CRAI,5411,541110,Legal services
CRAY,334,334111,Computer and electronic products
CREE,334,334413,Computer and electronic products
CRIS,325,325414,Chemical products
CRK,211,211120,Oil and gas extraction
CRL,5412OP,541713,"Miscellaneous professional, scientific, and technical services"
CRM,334,334614,Computer and electronic products
CROX,315AL,316210,Apparel and leather and allied products
CRRC,323,323117,Printing and related support activities
CRRS,561,561320,Administrative and support services
CRS,324,324199,Petroleum and coal products
CRUS,334,334413,Computer and electronic products
CRVL,524,524210,Insurance carriers and related activities
CRWN,513,515210,Broadcasting and telecommunications
CRY,332,332994,Fabricated metal products
CRZO,211,211120,Oil and gas extraction
CSBK,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
CSC,5415,541512,Computer systems design and related services
CSCD,334,334514,Computer and electronic products
CSE,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CSFL,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CSGP,311FT,312230,Food and beverage and tobacco products
CSGS,514,518210,"Data processing, internet publishing, and other information services"
CSII,332,332994,Fabricated metal products
CSLT,514,518210,"Data processing, internet publishing, and other information services"
CSOD,334,334614,Computer and electronic products
CSRA,5415,541512,Computer systems design and related services
CSS,323,323111,Printing and related support activities
CSX,482,482111,Rail transportation
CTB,326,326211,Plastics and rubber products
CTBI,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CTCT,511,511140,"Publishing industries, except internet (includes software)"
CTG,5415,541511,Computer systems design and related services
CTIC,325,325412,Chemical products
CTL,513,517311,Broadcasting and telecommunications
CTRE,525,525990,"Funds, trusts, and other financial vehicles"
CTRX,524,524210,Insurance carriers and related activities
CTS,334,334412,Computer and electronic products
CTSH,5415,541511,Computer systems design and related services
CTT,525,525990,"Funds, trusts, and other financial vehicles"
CTWS,22,221310,Utilities
CTXS,334,334614,Computer and electronic products
CUB,334,334514,Computer and electronic products
CUBE,525,525990,"Funds, trusts, and other financial vehicles"
CUBI,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CUDA,333,333316,Machinery
CUI,42,423690,Wholesale trade
CUNB,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CUR,325,325414,Chemical products
CUTR,334,334510,Computer and electronic products
CUZ,525,525990,"Funds, trusts, and other financial vehicles"
CVBF,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CVC,513,515210,Broadcasting and telecommunications
CVCO,321,321991,Wood products
CVD,5412OP,541713,"Miscellaneous professional, scientific, and technical services"
CVG,5415,541512,Computer systems design and related services
CVGI,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
CVI,324,324110,Petroleum and coal products
CVLT,334,334614,Computer and electronic products
CVS,4A0,446110,Other retail
CVT,334,334614,Computer and electronic products
CVX,324,324110,Petroleum and coal products
CWCO,22,221310,Utilities
CWEI,211,211120,Oil and gas extraction
CWST,562,562211,Waste management and remediation services
CWT,22,221310,Utilities
CXO,211,211120,Oil and gas extraction
CXW,525,525990,"Funds, trusts, and other financial vehicles"
CY,334,334413,Computer and electronic products
CYBX,334,334510,Computer and electronic products
CYH,622,622110,Hospitals
