ticker,pricetorevenue,marketcap
LOGM,6.055613953,1831529786
LORL,,1129444769
LOW,1.106198062,66749797791
LPG,1.747730233,470225057.6
LPNT,0.434487209,2814009351
LQ,1.389855426,1419581188
LRCX,2.586805426,15247296218
LSTR,0.905837984,2909811958
LTC,12.40017907,1822206189
LUK,0.687144574,6713927603
LUV,1.32305814,26746316822
LVLT,,18752081166
LVS,3.550485659,40222915349
LXP,6.396192248,2220933865
MA,10.61617054,1.06551E+11
MAA,7.755877519,7239525295
MAC,11.74675736,11743539196
MAN,0.286729845,5582547733
MANH,7.288087597,4215340257
MANT,0.866999225,1371861839
MAR,1.217674419,18142291659
MASI,4.08222907,2684185552
MAT,1.89092093,10676475440
MBFI,3.3703861,2743369691
MBI,2.534013619,1117768169
MBRG,3.97177722,189859061.4
MBVT,3.61177093,230614832.9
MBWM,3.470743411,424591728.5
MC,1.061321318,610858124
MCBC,3.941334109,251622910.8
MCD,4.241697287,1.06949E+11
MCHP,4.972137597,11932644907
MCHX,0.978944186,138381279.1
MCK,0.20145155,38639004109
MCRI,1.876506202,389775039.5
MCY,0.936301163,2947037628
MDC,0.634761628,1276432008
MDP,1.366873643,2247134507
MDR,3.896781395,11304782935
MDRX,1.818555039,2576823068
MDSO,6.429016667,2671133363
